Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,waterfront_1,view_1,view_2,view_3,view_4,renovated,price,cooksd,lev,dffits
1.0259326143,-0.986926138,0.2590211029,0.3345550457,0.1794625663,-0.706452159,0.3907226742,-0.013226836,-0.067329564,0,0,0,0,0,0,13.299672392,5.998074E-6,0.0002130249,0.0088301704
0.9150030788,-0.989287958,2.0443990655,1.4651268968,-0.087530185,-1.023788929,0.6195110587,0.1763917145,0.1389239889,0,0,0,0,0,0,13.388566418,0.0000484481,0.0007236909,0.0250962319
1.0553274675,0.8708329896,-1.452691092,2.3996470957,0.906401171,-0.104049294,0.0268244456,0.0711259786,-0.219733522,0,0,0,0,0,0,13.805460222,0.0000284278,0.0006700101,-0.019223725
-0.02998241,-0.714146211,0.3660489319,-1.359225801,0.1698533446,-1.581007815,0.3032027001,0.2736097864,0.0436140361,0,0,0,0,0,0,12.730801174,5.5008636E-6,0.0004848523,0.0084562085
-1.417197492,-0.382645598,-0.598515727,0.7500369401,-0.403010152,-0.548387068,-0.447773588,0.8484057626,0.476363119,0,0,0,0,0,0,12.916568464,1.2746539E-6,0.0003419163,-0.004070568
-0.787215407,-0.997490833,-0.630758052,0.204732753,-0.074773376,-0.142335119,0.6844794927,-0.155841633,0.0748004335,0,0,0,0,0,0,12.953944726,5.4387186E-6,0.000217757,0.0084083526
0.0908061404,-1.048689926,0.6131700952,1.1662913467,-0.132903762,-0.157181197,0.1713717537,0.1556236051,0.0163341834,0,0,0,0,0,0,13.122363377,1.0153254E-7,0.0002365167,0.0011488438
0.5752879087,-1.445487426,-0.031228613,-0.21479622,0.2921146205,0.4460032958,-0.91568697,0.0098258696,0.4085971592,0,0,0,0,0,0,12.706847933,0.0000480152,0.0003998154,-0.024984379
3.8805891569,2.4346844536,-0.825454017,0.736580399,-2.588273209,0.9439304337,0.9010009596,0.318177889,-0.270222784,0,0,0,0,0,1,14.14337442,0.0000223625,0.0025640646,-0.017049833
-1.929422197,0.1650068264,-0.996537841,1.7257779841,0.6433831422,0.5861423077,0.998349914,0.6303748845,-0.163709713,0,0,0,0,0,0,13.227623888,0.0000299322,0.0005906243,0.0197258916
2.9733928209,1.6677221048,-1.689976304,2.7316533343,0.9321301856,-1.075087031,0.0888161939,-0.858313478,-0.962691037,0,0,0,0,0,0,14.635796869,6.2097626E-6,0.0015709726,0.0089845526
-0.405330269,-1.366470134,-0.824009674,0.6084163132,-0.176729985,1.2038759166,0.5019166366,-0.08091618,0.4870307218,0,0,0,0,0,0,13.038981768,8.2462018E-6,0.0004990426,0.0103535224
