Clusters,Zipcode,Avg. Price
Cluster 3,98002,"234,284.04"
Cluster 3,98168,"240,328.37"
Cluster 3,98032,"251,296.24"
Cluster 3,98001,"280,804.69"
Cluster 3,98148,"284,908.60"
Cluster 3,98023,"286,732.79"
Cluster 3,98188,"289,078.35"
Cluster 3,98003,"294,111.28"
Cluster 3,98030,"296,187.98"
Cluster 3,98031,"300,539.89"
Cluster 3,98198,"302,878.88"
Cluster 3,98055,"304,262.11"
Cluster 3,98178,"310,612.76"
Cluster 3,98042,"311,632.11"
Cluster 3,98022,"315,709.30"
Cluster 3,98106,"319,581.39"
Cluster 3,98092,"334,921.06"
Cluster 3,98058,"353,608.64"
Cluster 3,98108,"355,678.52"
Cluster 3,98146,"359,483.24"
Cluster 3,98038,"366,867.60"
Cluster 3,98133,"386,997.40"
Cluster 3,98118,"417,637.43"
Cluster 3,98056,"420,890.55"
Cluster 3,98010,"423,665.99"
Cluster 3,98155,"423,725.70"
Cluster 3,98126,"424,706.36"
Cluster 3,98019,"424,788.75"
Cluster 3,98045,"439,471.08"
Cluster 3,98014,"455,617.11"
Cluster 3,98028,"462,480.04"
Cluster 3,98166,"464,231.84"
Cluster 3,98125,"469,455.77"
Cluster 2,98070,"487,479.63"
Cluster 2,98011,"490,351.47"
Cluster 2,98059,"493,552.53"
Cluster 2,98034,"521,652.86"
Cluster 2,98065,"527,961.20"
Cluster 2,98136,"551,688.67"
Cluster 2,98072,"569,958.47"
Cluster 2,98117,"576,795.01"
Cluster 2,98107,"579,053.42"
Cluster 2,98024,"580,526.79"
Cluster 2,98103,"584,919.21"
Cluster 2,98144,"594,547.65"
Cluster 2,98029,"612,653.61"
Cluster 2,98027,"616,990.59"
Cluster 2,98007,"617,105.09"
Cluster 2,98116,"618,634.17"
Cluster 2,98115,"619,900.55"
Cluster 2,98122,"634,360.18"
Cluster 2,98052,"645,231.46"
Cluster 2,98008,"645,507.38"
Cluster 2,98177,"676,185.39"
Cluster 2,98053,"678,163.06"
Cluster 2,98077,"682,774.88"
Cluster 2,98074,"685,605.78"
Cluster 1,98075,"790,576.65"
Cluster 1,98199,"791,820.81"
Cluster 1,98033,"803,719.52"
Cluster 1,98005,"810,164.88"
Cluster 1,98119,"849,448.02"
Cluster 1,98006,"859,684.78"
Cluster 1,98105,"862,825.23"
Cluster 1,98109,"879,623.62"
Cluster 1,98102,"901,258.27"
Cluster 4,98112,"1,095,499.34"
Cluster 4,98040,"1,194,230.02"
Cluster 4,98004,"1,355,927.08"
Cluster 5,98039,"2,160,606.60"
